contrast,energy,homogeneity,correlation,area,perimeter,circularity,label
32.577828248416495,0.5764585866247216,0.7847675045636151,0.9876626015047442,193007.0,1661.0478929281235,0.879060195055309,0
113.91328242508388,0.44401517501247945,0.6376583003193486,0.9675172982596382,16520.0,619.6122587919235,0.5407293012865368,0
84.43255295429209,0.7643977459726616,0.8486290469526626,0.9623084789832008,14293.0,450.61731255054474,0.8845400701089107,0
63.76323241992742,0.6200305385892189,0.782914754188258,0.9875099387060319,18473.0,707.8965294361115,0.46324178667164745,0
148.456442108616,0.6845000247484956,0.8053968611601718,0.9629437873879833,19625.0,528.9015834331512,0.8815963734769635,0
319.5718735579141,0.7122581449663459,0.7670416296081455,0.9638167219612503,9488.5,983.8447933197021,0.12318398311382243,0
160.65164482215175,0.32264515881179895,0.5184250299786222,0.9823388903823007,34518.0,718.8427082300186,0.8394362988154472,0
174.4225267819738,0.46376188436287974,0.6876305391349667,0.9662115762154907,30713.5,659.5706286430359,0.8871898371341361,0
177.24591863176988,0.5695122555556604,0.7287064624513675,0.9632771189036232,24991.0,632.1564158201218,0.7858585788887558,0
132.15306532663314,0.738158306984038,0.7939225946465989,0.9672672791227506,13878.5,518.0315244197845,0.6498902407757278,0
34.37906982612865,0.558639359330176,0.8106282785047801,0.9860486344698364,185582.5,1634.9473892450333,0.872447536413325,0
543.5864924880468,0.43305425368609163,0.5930819332941164,0.9517353876761303,49794.0,902.0,0.7690840487158379,0
118.76908730158729,0.6005945947448323,0.7283252396835783,0.9820721029146902,18165.5,529.9726490974426,0.8127375138411321,0
346.4478005513604,0.4682785570343515,0.6322284587783761,0.9636489947872146,31095.0,667.9554063081741,0.8758011004897296,0
576.2943067033976,0.38622422446897353,0.612917310865703,0.9382863051921821,39362.5,751.3107440471649,0.8763010634224011,0
292.1316998162793,0.4865398786092541,0.6731445954980595,0.9665338651541591,32167.0,674.3574259281158,0.8888738598270999,0
317.7112135176651,0.5741246051108716,0.6819503424477916,0.9723903700083906,21021.5,1714.0844696760178,0.08991023360258081,0
288.2055116854112,0.4076705052343337,0.6262407706447929,0.9502216217813433,28739.0,1146.0285614728928,0.2749733684115424,0
174.4225267819738,0.46376188436287974,0.6876305391349667,0.9662115762154907,30713.5,659.5706286430359,0.8871898371341361,0
376.99697211155376,0.48968931524616954,0.6488000051282887,0.95157601201093,37592.5,730.8843379020691,0.8843287846745606,0
210.24386931863575,0.5147164589151612,0.7283530912887515,0.9616673842827195,26048.0,608.0142806768417,0.8854350051264616,0
103.18345238095239,0.4777599740674439,0.6607057521643597,0.9675248148295132,29633.0,657.3868628740311,0.8616749014052203,0
430.13245099213486,0.23122650585536814,0.518546981949268,0.9471426250971605,36503.5,856.8498458862305,0.6247912305676279,0
325.4639865996651,0.37663753422804214,0.6334499067888104,0.9530039946111305,36594.5,723.6538909673691,0.8781402394972209,0
114.83621031746031,0.670857071282049,0.774559186741371,0.9742187372501441,18978.0,521.4457386732101,0.8770857618035346,0
189.77852362401364,0.5508449805759243,0.746623426055316,0.9633582312200529,17405.0,631.9554046392441,0.5476600060249948,0
244.1542607280862,0.3861735161326501,0.643383762437266,0.9326979062483919,23708.5,584.8010782003403,0.8711593704986238,0
128.85757936507935,0.5798872566987003,0.7085146183092808,0.9652082034425228,23588.0,582.2152901887894,0.8744475587919243,0
54.607770048039555,0.504045421023559,0.6812975523568431,0.9839082213068057,24593.0,782.9848431348801,0.5040976391496982,0
243.39551587301585,0.7087164774537573,0.7764516759020703,0.9586965403684704,19101.5,521.8305144309998,0.8814920390067628,0
96.30063745019919,0.3955181427399865,0.6406098001634808,0.967968479741179,27077.0,645.1858550310135,0.8174114825861039,0
240.8372619047619,0.544952259458398,0.6885918341762669,0.9621196823645707,24580.0,598.0731562376022,0.8635413184765959,0
112.16519999999997,0.3341059637300717,0.62233544031539,0.9741493642972191,32261.5,1439.1483985185623,0.19574165799086113,0
134.34424603174602,0.5457561690680535,0.7103804870748074,0.9778827798098909,24019.5,588.4579310417175,0.8716517084567204,0
134.34424603174602,0.5457561690680535,0.7103804870748074,0.9778827798098909,24019.5,588.4579310417175,0.8716517084567204,0
148.456442108616,0.6845000247484956,0.8053968611601718,0.9629437873879833,19625.0,528.9015834331512,0.8815963734769635,0
154.81223527531364,0.7183838527308175,0.800713126651925,0.9885886215946912,13821.5,443.0609633922577,0.8847856433953276,0
160.31170300287948,0.5083713452041325,0.7079981482112078,0.9784360276720676,106390.5,1231.6437871456146,0.8813379540751584,0
